Index,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
522,Blues,9.0,2174.62791598355,330289.61429858604,Social,724.875971994516,Yes,455.64983122531305,Yes,Male,After_16:00,0.40212701004929796,0.37753178155981,1.7188155162148202,5.9448577929288104,4.428541990928349,5.19779512658715,6195.0,38.7415277538821,182.06536798151402,4920.62904821615,28548.3676718997,Yes,207616.768695656,13.4931600443156,394.21939709167395,2.4353151675313702,526180.050746989,70.0,30-45,1.0,345.01275131781404,9.0,Motorcycle_or_truck,Hightech,271.177874023841,0.0,No
9728,Purples,3.0,275.548523365025,,Environment,91.8495077883415,No,535.309039296718,No,Male,After_16:00,0.15197809436358498,0.14571534562856,6.159139147493991,3.68855127831921,0.547026458662003,3.42521681915969,5043.0,83.39477847330271,438.354693113127,6229.79977919343,56002.2796988774,No,286555.767552775,20.9369217678513,72.50732393410291,21.4120003627613,8538.18158874895,90.0,30-45,0.0,705.3034012485091,15.0,Foot_or_bicycle,Industry_or_other,,0.0,No
9485,Browns,,69.74187847236101,10717.7797618652,Social,23.2472928241203,No,461.03345636636595,Yes,,By_16:00,0.178240397945046,0.330625086789951,5.82947838352993,7.394613693468269,4.84363263938576,1.6783089051023101,9793.0,26.222078502178196,455.519583415093,5521.37373049385,54828.008439808895,No,212551.847889118,21.3429047557987,72.15953387207041,24.486928386613698,573.683916474518,70.0,45_and_up,2.0,685.394296979203,6.0,Public_or_other,Public_Sector,458.646652537966,0.0,No
3059,Reds,9.0,,13421.779690661,Other,32.0363809335348,No,418.95430443616095,Yes,Female,After_16:00,0.891915041720495,0.053933653049171,8.998429146595301,2.8698126878589396,3.1154559855349397,2.57902705576271,8205.0,28.267215937375997,417.883339961027,5025.30972428366,52043.629546107695,Maybe,175522.709205587,20.442195086659,115.376395974525,8.62041504587978,1068.36608425209,,Below_30,1.0,667.7891141000799,9.0,Foot_or_bicycle,Public_Sector,499.597355383079,0.0,No
1821,Purples,1.0,680.414887906259,84061.14230334871,Environment,226.80496263542003,No,370.631847410119,Yes,Female,By_16:00,0.45850877650082106,0.21958855190314397,2.84149729646742,2.45101891923696,9.89356125937775,2.96636860817671,7812.0,61.1169390380383,407.81551612960504,4521.9495063604,50383.6334368768,No,137367.966314638,20.1944427041106,,1.66651858016849,51677.2960386895,90.0,30-45,2.0,653.1765131823599,13.0,Public_or_other,Industry_or_other,498.15872784940694,2.0,Yes
1701,Purples,4.0,585.10453738268,86596.7180743637,Social,,No,444.006391379561,Yes,Female,By_16:00,0.19053854164667397,0.999866141704842,9.948050025850529,6.998186185956,1.82786443969235,0.590096302330494,5716.0,11.931409500539301,405.31472913604597,5250.6933720677,53768.3706233084,No,197141.6755859,20.1324297871878,148.518953169574,37.770278402604205,38243.625919772,70.0,Below_30,2.0,709.0770179467489,9.0,Car,Public_Sector,599.786245172703,2.0,Yes
9855,Browns,10.0,54.495717672539904,5772.69344167891,Social,18.16523922418,No,317.787911870426,Yes,Male,After_16:00,0.116846586111933,0.362160187447444,5.3711459389887795,0.433913676533848,0.9834120003506541,0.95013610785827,4068.0,50.2418966265395,375.717966398263,3929.3150515007897,44738.4650016503,No,100989.156930966,19.383445679194,240.78037817131002,35.331309540197296,358.141155295866,70.0,30-45,1.0,571.634378075741,6.0,Foot_or_bicycle,Services_or_Retail,403.41883426052397,1.0,No
5389,Whites,1.0,372.14292795692495,61302.65176607481,Environment,124.047642652308,No,494.18635014209195,Yes,Male,After_16:00,0.7754297517240051,0.553944048006088,9.92793816141784,1.39182610204443,1.8970972346141899,7.26647523464635,3727.0,21.617359132506,475.733858934742,5893.33121929041,58779.1075371886,No,244220.148666763,21.8113240986131,43.4895194437148,86.266308510676,15521.8652902471,90.0,30-45,1.0,745.388474794471,9.0,Foot_or_bicycle,Industry_or_other,535.618733477987,0.0,Yes
2767,Blues,5.0,1154.2743247372198,79051.5967647698,Social,384.758108245739,Yes,,Yes,Female,By_16:00,0.127968380926177,0.8069833191111679,7.8479840233922005,7.1185402758419505,8.08553743176162,6.22653997503221,8198.0,91.40608243178579,644.393129859974,3343.36535943526,61879.9419531675,Yes,42212.9527698698,25.3848996425035,385.655766424304,86.9091062806547,148433.559969086,70.0,30-45,4.0,749.101936020121,9.0,Foot_or_bicycle,Industry_or_other,297.204656297982,1.0,No
6874,Yellows,5.0,-305.045349605107,-53281.762300794006,Environment,-101.681783201702,Yes,524.0049950255191,No,Male,After_16:00,0.8430520780384541,0.522814493626356,4.184437755029649,1.0059099993668499,6.8936255061999,6.9038057490252,4854.0,1.88105606939644,289.915750844984,5819.88145194516,40031.1017170385,Yes,274581.234811694,17.026912545878197,262.311558276654,91.9130706926808,,90.0,45_and_up,2.0,485.710691219689,12.0,Public_or_other,Public_Sector,344.772031913302,0.0,No
